"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"marizanne kapp","100K+","November 2, 2025 at 5:00:00 PM UTC+5:30",,"marizanne kapp,kapp cricketer,dane van niekerk","https://trends.google.com/trends/explore?q=marizanne%20kapp&geo=IN&hl=en-US"
"nonkululeko mlaba","50K+","November 2, 2025 at 4:40:00 PM UTC+5:30",,"nonkululeko mlaba,belinda clark,harmanpreet kaur family,kapil dev,mlaba","https://trends.google.com/trends/explore?q=nonkululeko%20mlaba&geo=IN&hl=en-US"
"richa ghosh","100K+","November 2, 2025 at 7:00:00 PM UTC+5:30",,"richa ghosh","https://trends.google.com/trends/explore?q=richa%20ghosh&geo=IN&hl=en-US"
"jhulan goswami","20K+","November 2, 2025 at 2:50:00 PM UTC+5:30",,"jhulan goswami","https://trends.google.com/trends/explore?q=jhulan%20goswami&geo=IN&hl=en-US"
"शेफाली वर्मा","100K+","November 2, 2025 at 5:10:00 PM UTC+5:30",,"शेफाली वर्मा,दीप्ति शर्मा,punam raut,लौरा वोलवार्ड,indw,sefali verma,aaj tak live,हरमनप्रीत कौर,icc women's world cup 2025 prize money in rupees,महिला क्रिकेट लाइव स्कोर,मिताली राज,आईएनडीडब्ल्यू बनाम saw,खेल,महिला विश्व कप,राधा यादव,अमनजोत कौर,indw बनाम sa-w,aaj ka match,सुने लूस,स्मृति मंधाना,भारतीय महिला राष्ट्रीय क्रिकेट टीम बनाम दक्षिण अफ़्रीका महिला राष्ट्रीय क्रिकेट टीम,ऑस्ट्रेलिया राष्ट्रीय क्रिकेट टीम बनाम भारतीय क्रिकेट टीम के मैच का स्कोरकार्ड,क्रांति गौड़,इंडिया साउथ अफ्रीका फाइनल मैच,aajtak live,महिला वर्ल्ड कप क्रिकेट,क्रिकेट लाइव स्कोर,भारत बनाम दक्षिण अफ्रीका,kranti gaud,भारतीय क्रिकेट टीम,इंडिया-साउथ अफ्रीका,क्रिकेट,इंडिया वर्सेस साउथ अफ्रीका,hotstar india,saw,महिला वर्ल्ड कप,आज का मैच,लाइव क्रिकेट,हिंदी","https://trends.google.com/trends/explore?q=%E0%A4%B6%E0%A5%87%E0%A4%AB%E0%A4%BE%E0%A4%B2%E0%A5%80%20%E0%A4%B5%E0%A4%B0%E0%A5%8D%E0%A4%AE%E0%A4%BE&geo=IN&hl=en-US"
"west ham vs newcastle","20K+","November 2, 2025 at 6:40:00 PM UTC+5:30",,"west ham vs newcastle,newcastle,jacob murphy","https://trends.google.com/trends/explore?q=west%20ham%20vs%20newcastle&geo=IN&hl=en-US"
"sean abbott","50K+","November 2, 2025 at 1:00:00 PM UTC+5:30",,"sean abbott,mahli beardman","https://trends.google.com/trends/explore?q=sean%20abbott&geo=IN&hl=en-US"
"pratika rawal","20K+","November 3, 2025 at 12:10:00 AM UTC+5:30",,"pratika rawal","https://trends.google.com/trends/explore?q=pratika%20rawal&geo=IN&hl=en-US"
"sree charani","10K+","November 2, 2025 at 9:40:00 PM UTC+5:30",,"sree charani,shree charani","https://trends.google.com/trends/explore?q=sree%20charani&geo=IN&hl=en-US"
"amol muzumdar","200K+","November 2, 2025 at 4:20:00 PM UTC+5:30",,"amol muzumdar,veda krishnamurthy,jemimah rodrigues,indian women cricket team coach,cricketer jemimah rodrigues,1983 world cup,jemimah rodrigues age,australia women's national cricket team,jemimah rodrigues cricketer,indian women's cricket team coach","https://trends.google.com/trends/explore?q=amol%20muzumdar&geo=IN&hl=en-US"
"barca","20K+","November 2, 2025 at 11:10:00 PM UTC+5:30",,"barca,fcb,barca match,barcelona match,fc barcelona vs elche cf lineups,laliga","https://trends.google.com/trends/explore?q=barca&geo=IN&hl=en-US"
"milan vs roma","2K+","November 3, 2025 at 12:20:00 AM UTC+5:30",,"milan vs roma","https://trends.google.com/trends/explore?q=milan%20vs%20roma&geo=IN&hl=en-US"
"wwc 2025","20K+","November 2, 2025 at 2:50:00 PM UTC+5:30",,"wwc 2025,shefali varma","https://trends.google.com/trends/explore?q=wwc%202025&geo=IN&hl=en-US"
"t20 world cup","10K+","November 2, 2025 at 1:50:00 PM UTC+5:30",,"t20 world cup","https://trends.google.com/trends/explore?q=t20%20world%20cup&geo=IN&hl=en-US"
"wpl","5K+","November 2, 2025 at 5:10:00 PM UTC+5:30",,"wpl,जेमिमा रोड्रिगेज,aus वि ind","https://trends.google.com/trends/explore?q=wpl&geo=IN&hl=en-US"
"t20 women's world cup winners list","10K+","November 2, 2025 at 11:50:00 PM UTC+5:30",,"t20 women's world cup winners list,women cricket world cup winners list,cricket world cup winners list,how many times india won women's world cup,t20 world cup winners list,world cup women winners list,world cup winners list,women world cup champions list,women world cup winner list,list of women world cup winners,women odi world cup winners list,women's world cup champions list,women's cricket world cup table,women's odi world cup winners list,women's world cup winner list,india women champion,how many times indian women won world cup,women icc,world cup women winners,icc women's world cup table,australia versus india","https://trends.google.com/trends/explore?q=t20%20women%27s%20world%20cup%20winners%20list&geo=IN&hl=en-US"
"real betis vs mallorca","1K+","November 3, 2025 at 12:40:00 AM UTC+5:30",,"real betis vs mallorca","https://trends.google.com/trends/explore?q=real%20betis%20vs%20mallorca&geo=IN&hl=en-US"
"cricbuzz","500K+","November 2, 2025 at 3:50:00 PM UTC+5:30","November 2, 2025 at 5:50:00 PM UTC+5:30","cricbuzz,afghanistan vs zimbabwe,afg vs zim,rahmanullah gurbaz,ibrahim zadran,afghanistan national cricket team vs zimbabwe national cricket team match scorecard,sikandar raza,zim vs afg,brian bennett,afghanistan national cricket team","https://trends.google.com/trends/explore?q=cricbuzz&geo=IN&hl=en-US"
"champion","10K+","November 3, 2025 at 12:00:00 AM UTC+5:30",,"champion,mlb,blue jays vs dodgers,blue jays,dodgers,world series,on","https://trends.google.com/trends/explore?q=champion&geo=IN&hl=en-US"
"bcci","2K+","November 3, 2025 at 12:00:00 AM UTC+5:30",,"bcci","https://trends.google.com/trends/explore?q=bcci&geo=IN&hl=en-US"
"smriti mandhana boyfriend","5K+","November 2, 2025 at 5:20:00 PM UTC+5:30",,"smriti mandhana boyfriend,smriti mandhana husband,smriti mandhana marriage","https://trends.google.com/trends/explore?q=smriti%20mandhana%20boyfriend&geo=IN&hl=en-US"
"deepti sharma husband","2K+","November 3, 2025 at 12:10:00 AM UTC+5:30",,"deepti sharma husband,deepti sharma cricketer,deepti sharma stats","https://trends.google.com/trends/explore?q=deepti%20sharma%20husband&geo=IN&hl=en-US"
"tim david","100K+","November 2, 2025 at 1:30:00 PM UTC+5:30","November 2, 2025 at 9:30:00 PM UTC+5:30","tim david,axar patel,tim david ipl","https://trends.google.com/trends/explore?q=tim%20david&geo=IN&hl=en-US"
"héctor fort","1K+","November 2, 2025 at 10:40:00 PM UTC+5:30",,"héctor fort,hector fort","https://trends.google.com/trends/explore?q=h%C3%A9ctor%20fort&geo=IN&hl=en-US"
"charles leclerc","2K+","November 2, 2025 at 11:50:00 PM UTC+5:30",,"charles leclerc,alexandra saint mleux","https://trends.google.com/trends/explore?q=charles%20leclerc&geo=IN&hl=en-US"
"champions trophy","1K+","November 3, 2025 at 12:00:00 AM UTC+5:30",,"champions trophy","https://trends.google.com/trends/explore?q=champions%20trophy&geo=IN&hl=en-US"
"is harmanpreet kaur married","1K+","November 3, 2025 at 12:10:00 AM UTC+5:30",,"is harmanpreet kaur married,harmanpreet kaur boyfriend","https://trends.google.com/trends/explore?q=is%20harmanpreet%20kaur%20married&geo=IN&hl=en-US"
"deol cricket","1K+","November 3, 2025 at 12:10:00 AM UTC+5:30",,"deol cricket,australia vs india women","https://trends.google.com/trends/explore?q=deol%20cricket&geo=IN&hl=en-US"
"dp world","500+","November 3, 2025 at 12:20:00 AM UTC+5:30",,"dp world","https://trends.google.com/trends/explore?q=dp%20world&geo=IN&hl=en-US"
"icc t20","5K+","November 2, 2025 at 3:40:00 PM UTC+5:30",,"icc t20,prize money for women's world cup,women's cricket world cup stats,women's world cup prize money,men's cricket world cup,world cup men,indian women cricket champion,icc womens,icc women's,cricket icc","https://trends.google.com/trends/explore?q=icc%20t20&geo=IN&hl=en-US"
"ऑस्ट्रेलिया बनाम भारत","100K+","November 2, 2025 at 2:00:00 PM UTC+5:30","November 2, 2025 at 6:40:00 PM UTC+5:30","ऑस्ट्रेलिया बनाम भारत,suryakumar yadav,जितेश शर्मा,aus बनाम ind,वाशिंगटन सुंदर,अभिषेक शर्मा,मार्कस स्टोइनिस,ind vs aus t20 live,तिलक वर्मा,सूर्यकुमार यादव,अर्शदीप सिंह,शिवम दुबे,मैट शॉर्ट,ट्रेविस हेड,वरुण चक्रवर्ती,इंडिया वर्सेस ऑस्ट्रेलिया,t20 live score,इंडिया-ऑस्ट्रेलिया,इंडिया-ऑस्ट्रेलिया मैच","https://trends.google.com/trends/explore?q=%E0%A4%91%E0%A4%B8%E0%A5%8D%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A5%87%E0%A4%B2%E0%A4%BF%E0%A4%AF%E0%A4%BE%20%E0%A4%AC%E0%A4%A8%E0%A4%BE%E0%A4%AE%20%E0%A4%AD%E0%A4%BE%E0%A4%B0%E0%A4%A4&geo=IN&hl=en-US"
"verona vs inter","20K+","November 2, 2025 at 4:20:00 PM UTC+5:30","November 3, 2025 at 1:20:00 AM UTC+5:30","verona vs inter","https://trends.google.com/trends/explore?q=verona%20vs%20inter&geo=IN&hl=en-US"
"t20 world cup 2026","2K+","November 2, 2025 at 2:30:00 PM UTC+5:30",,"t20 world cup 2026","https://trends.google.com/trends/explore?q=t20%20world%20cup%202026&geo=IN&hl=en-US"
"gokulam kerala vs bengaluru","10K+","November 2, 2025 at 6:40:00 PM UTC+5:30","November 3, 2025 at 12:30:00 AM UTC+5:30","gokulam kerala vs bengaluru,bengaluru fc","https://trends.google.com/trends/explore?q=gokulam%20kerala%20vs%20bengaluru&geo=IN&hl=en-US"
"pratika rawal injury update","500+","November 3, 2025 at 12:10:00 AM UTC+5:30",,"pratika rawal injury update,what happened to pratika rawal","https://trends.google.com/trends/explore?q=pratika%20rawal%20injury%20update&geo=IN&hl=en-US"
"marcus rashford","500+","November 3, 2025 at 12:40:00 AM UTC+5:30",,"marcus rashford","https://trends.google.com/trends/explore?q=marcus%20rashford&geo=IN&hl=en-US"
"pratika rawal cricketer","500+","November 3, 2025 at 12:10:00 AM UTC+5:30",,"pratika rawal cricketer","https://trends.google.com/trends/explore?q=pratika%20rawal%20cricketer&geo=IN&hl=en-US"
"abhishek sharma","50K+","November 2, 2025 at 3:20:00 PM UTC+5:30","November 2, 2025 at 6:20:00 PM UTC+5:30","abhishek sharma","https://trends.google.com/trends/explore?q=abhishek%20sharma&geo=IN&hl=en-US"
"tilak varma","20K+","November 2, 2025 at 1:50:00 PM UTC+5:30","November 2, 2025 at 7:40:00 PM UTC+5:30","tilak varma","https://trends.google.com/trends/explore?q=tilak%20varma&geo=IN&hl=en-US"
"melbourne cup field 2025 justhorseracing.com.au","1K+","November 2, 2025 at 11:40:00 PM UTC+5:30",,"melbourne cup field 2025 justhorseracing.com.au,melbourne cup 2025 odds justhorseracing.com.au,melbourne cup 2025 justhorseracing.com.au,melbourne cup 2025 horses justhorseracing.com.au","https://trends.google.com/trends/explore?q=melbourne%20cup%20field%202025%20justhorseracing.com.au&geo=IN&hl=en-US"
"icc women's t20 world cup","200+","November 3, 2025 at 12:20:00 AM UTC+5:30",,"icc women's t20 world cup","https://trends.google.com/trends/explore?q=icc%20women%27s%20t20%20world%20cup&geo=IN&hl=en-US"
"shivam dube","20K+","November 2, 2025 at 1:50:00 PM UTC+5:30","November 2, 2025 at 6:30:00 PM UTC+5:30","shivam dube,india-australia 20-20,india-australia 20-20 match,ins vs aus,parthiv patel","https://trends.google.com/trends/explore?q=shivam%20dube&geo=IN&hl=en-US"
"ipl 2025","2K+","November 2, 2025 at 3:10:00 PM UTC+5:30",,"ipl 2025,deepak hooda","https://trends.google.com/trends/explore?q=ipl%202025&geo=IN&hl=en-US"
"beşiktaş vs fenerbahçe","1K+","November 2, 2025 at 9:50:00 PM UTC+5:30",,"beşiktaş vs fenerbahçe","https://trends.google.com/trends/explore?q=be%C5%9Fikta%C5%9F%20vs%20fenerbah%C3%A7e&geo=IN&hl=en-US"
